;means;sd;sr
140;1.077798363;3.994352844;0.269830535
141;1.184782868;3.736675641;0.317068695
142;0.977716978;3.386641251;0.288698125
143;1.230403637;4.134863144;0.297568165
144;1.065557745;3.493112396;0.305045365
145;1.434079282;4.519956746;0.317277214
146;1.008638308;3.283611302;0.307173479
147;1.100610385;3.719734793;0.295884101
148;1.285019145;4.037990525;0.318232333
149;0.680475407;2.689269304;0.253033568
150;0.945683092;3.992591443;0.23685947
151;1.182944868;4.190225599;0.282310544
152;0.971310186;3.542175246;0.274212911
153;1.135668601;4.044730021;0.280777356
154;0.950660626;2.808714571;0.338468222
155;0.982800439;3.375360405;0.291169037
156;1.080642701;3.607492614;0.29955507
157;0.948394397;3.153210493;0.300771039
158;1.021698422;3.540915989;0.288540712
159;1.287170434;4.361611932;0.29511347
160;1.491314378;4.560600316;0.326999578
161;2.24006933;7.96201963;0.281344362
162;1.004481442;3.152679792;0.318611945
163;1.073804814;3.562213186;0.301443164
164;1.053702261;3.782747257;0.278554762
165;1.581902358;5.202174749;0.304084817
166;0.966028292;3.187633238;0.303055032
167;1.747802325;5.934171969;0.294531796
168;1.054921298;3.543812136;0.297679803
169;1.193200103;3.776402222;0.315962134
170;1.091035029;3.72702638;0.292736063
171;0.942435948;3.242373505;0.290662364
172;0.767975388;2.969286695;0.258639689
173;1.206229515;4.039056043;0.29864144
174;1.473432441;4.682019439;0.314700197
175;1.033876461;3.280662882;0.315142549
176;1.134554708;3.799509934;0.298605538
177;0.985041456;3.407174909;0.28910798
178;1.185674936;4.209187659;0.281687355
179;1.28464147;4.267338454;0.301040446
180;1.010796737;3.372330836;0.299732377
181;1.228670912;3.719810295;0.330304724
182;1.31900599;4.200026863;0.314047037
183;0.967191543;3.057004182;0.316385417
184;1.271873475;4.153238917;0.30623653
185;0.946061635;3.54550594;0.266834029
186;0.990467416;3.427093934;0.289010875
187;1.123205304;4.730966479;0.237415612
188;0.90361969;3.322253173;0.271990015
189;1.12800715;3.392970813;0.332454127
190;1.721250189;5.524669902;0.31155711
191;1.017284292;3.053573238;0.333145536
192;2.761505293;10.47823136;0.26354689
193;1.540235776;5.124768206;0.300547403
194;0.891359369;3.326151112;0.267985229
195;1.061003533;3.740480732;0.283654324
196;0.917395383;3.260064549;0.281404055
197;1.057532909;3.734661636;0.283166994
198;0.999626279;3.981828945;0.251047017
199;1.064925742;3.441633519;0.309424503
200;1.567775758;4.959960655;0.31608633
201;0.880955126;3.369049879;0.261484738
202;1.019176708;3.284551478;0.310294028
203;1.064937666;3.641068732;0.292479419
204;1.361888503;4.193225445;0.324783039
205;0.937044167;3.863896394;0.242512757
206;1.226615693;3.785696412;0.324013222
207;0.912221142;3.153923396;0.289233766
208;1.788403577;6.087582524;0.293778946
209;1.882304706;6.090367111;0.309062602
210;1.115147952;3.765758974;0.296128339
211;0.746691248;2.504748341;0.298110288
212;1.428607216;4.662760314;0.306386586
213;0.973217021;3.25733824;0.298776777
214;0.794480672;2.326231452;0.341531223
215;1.078874296;3.278097739;0.329115964
216;1.046321992;3.45672417;0.30269178
217;1.199110283;4.22490915;0.283819188
218;1.074202487;3.774401977;0.284602036
219;0.876156104;2.716820366;0.322493204
220;0.928845471;2.888552651;0.321560859
221;0.985496044;3.330376224;0.295911326
222;1.030292822;3.932404691;0.26200071
223;1.063297331;3.788465745;0.280667004
224;1.41772926;4.662516162;0.304069565
225;1.44271699;4.79902921;0.300626841
226;0.814044393;3.406548928;0.238964539
227;1.474289987;5.126974783;0.287555537
228;1.058138319;3.502293552;0.30212725
229;1.411114344;4.447948459;0.317250606
230;0.89367826;2.837043067;0.315003417
231;1.000577717;3.288882803;0.304230274
232;0.96702554;3.141119215;0.307860184
233;1.157758744;4.195707603;0.275938853
234;1.557245965;5.426931032;0.286947808
235;1.287863884;3.852221041;0.334317234
236;1.526269257;4.873076015;0.313204484
237;0.973483693;3.981247176;0.24451727
238;0.98865255;3.353393533;0.294821511
239;1.009977463;3.063031805;0.329731301
240;1.072133975;3.25433884;0.329447555
241;0.918371034;3.045687669;0.301531586
242;1.316376639;8.076119105;0.162996189
243;1.185087554;3.528084975;0.33590108
244;1.339868643;4.154150386;0.322537347
245;1.011284032;3.479401637;0.290648835
246;1.633806545;5.502678308;0.29691115
247;0.655739772;2.344806392;0.279656254
248;2.543578281;8.758571844;0.290410163
249;0.8789188;2.760830446;0.318353053
250;1.330134971;4.852119334;0.274134843
251;1.140433392;4.938062776;0.230947528
252;2.084163858;7.663410583;0.271962964
253;1.03323448;3.40306693;0.303618619
254;0.936779904;3.1931066;0.293375706
255;0.924680232;2.977063195;0.310601479
256;1.553271809;4.926545625;0.315286192
257;1.508235389;4.59516237;0.328222437
258;1.683828706;5.586075341;0.301433225
259;1.197058034;3.56474661;0.335804523
260;0.983995621;3.262202635;0.301635346
261;1.296401838;6.952714703;0.186459806
262;0.548608283;2.302336627;0.238283263
263;1.658893728;5.355162594;0.309774671
264;1.46797163;4.748672874;0.309133029
265;1.029837526;3.818043969;0.26972909
266;1.857449841;6.16596667;0.301242277
267;1.807689213;6.453083668;0.280127968
268;0.657780393;2.999455391;0.219299942
269;1.30350864;4.029057877;0.323526909
270;0.730335967;2.4295752;0.30060233
271;0.758875119;2.642353988;0.287196614
272;0.915628435;3.378869887;0.270986592
273;1.499418569;5.737341495;0.26134379
274;1.104710089;3.817578525;0.289374556
275;1.444067265;5.006139298;0.288459265
276;1.261272343;5.014708404;0.251514593
277;0.917735446;3.199078011;0.286874982
278;1.018624132;3.802452586;0.267886084
279;0.800864246;3.533698682;0.226636258
280;1.041598529;3.296658803;0.315955818
281;1.118894125;3.868324055;0.28924519
282;1.080002915;3.703365634;0.291627406
283;1.174251156;3.578702924;0.328121999
284;1.230740825;3.999724569;0.307706394
285;0.975485853;3.269446868;0.298364186
286;0.924980833;3.155245034;0.293156577
287;1.08974743;3.395602481;0.320929036
