Date;interros;elektroenergetiki;almaznaya_osen;promagrofond;sberbank;hantimansiask;tnk-vladimir;raiffaisen;bolshoi;telekom-souz;stroikompleks;tvoya_opora;evrazia_plus;dobrodetel;nationalnyi;initiativa;socrazvitie;doverie;socium;mosenergo;regionfond;transneft;oboronnopromofond;perviy_promalyans;uralosibirskij;pensionnaykassa;ugkmkperspektiva;mejregionalniy;kitfinance;gazfond;blagosostoyanie;lukoil_garant;surgutneftegaz;soglasie;neftegarant;atomfond
31/12/2015;1.102689095;3.337569454;2.592347074;1.605495254;3.146389319;3.168886428;7.718287016;3.408287698;8.458065712;-1.955313864;5.56358947;5.748616969;0.787434756;3.372988859;2.887753406;3.621552281;3.898002002;1.450413618;3.893464111;2.068817174;3.805315099;2.5014008;2.049395959;4.790209327;3.251104232;1.313994751;4.853020408;3.409488917;1.464386327;2.622637746;1.086160781;2.663643134;1.613102896;1.613102896;3.134933625;7.456848229
30/11/2015;1.287099274;2.253854334;2.078474313;1.366575962;2.256013463;2.667215987;4.633774253;4.746034195;5.026823304;5.566363979;4.220267973;3.535974714;1.036893312;2.500518332;1.988780533;3.850706456;2.526495029;0.759009828;2.582212416;7.451699889;2.12484493;2.129313201;1.54309671;3.012472858;2.331166737;0.823788358;3.081048051;2.790406356;1.508011626;2.063888347;3.440897806;3.131389062;2.728214183;2.728214183;4.274487836;4.521854502
30/10/2015;1.18526365;-4.576505967;-1.614998171;0.627799808;-2.392624042;-2.120426134;-9.490440739;-6.162358306;-10.68596866;-2.313194538;-6.846126162;-6.14374051;2.432066688;-3.143378656;-1.659579894;-4.967178572;-3.328463984;-0.231514203;-3.376089073;-8.696666292;-3.743796585;-1.336599777;-1.150928662;-4.699631061;-2.136382366;0.210332352;-4.658104815;-4.290919976;0.569777614;-1.274610109;-3.214615167;-4.792957708;-1.7690281;-1.7690281;-5.004227904;-8.972587122
30/09/2015;1.440595067;1.315676179;1.262333177;1.2990703;1.152473944;1.537746961;0.835588772;2.639265437;0.798940863;5.168690822;1.467001276;0.953437058;1.494153532;1.329821157;1.132340998;1.9009072;1.032014131;0.949615823;1.06868046;4.790069239;0.957912749;1.373148768;1.216773962;1.030340094;1.245363661;0.998930165;1.063791595;1.434711498;1.425080686;1.311876374;2.751417383;2.060987877;2.04574607;2.04574607;2.383232286;0.88940649
31/08/2015;-0.133945422;-0.613269603;-0.000457169;-0.196747696;-0.129666142;-1.401501708;-1.55861052;-1.885891665;-1.819525731;-2.202154748;-1.602239104;-1.073361387;-0.688285359;-0.46772983;-0.157595008;-1.263255337;-0.332252888;0.584198164;-0.39764316;-3.339801432;-0.376757762;-0.376426944;0.141077333;-0.753715091;-0.794872664;0.631561089;-1.037835907;-0.640671654;-0.180975187;-0.477878283;-0.95249562;-1.001632335;-0.420865886;-0.420865886;-1.278747838;-1.635165204
31/07/2015;0.670638988;-1.205117231;-0.388043573;0.49945205;-0.6531721;-0.92650339;-3.675588649;-3.066240927;-4.185625969;-2.761125926;-2.882245695;-2.287851496;1.06133519;-1.069569202;-0.361621472;-2.166218664;-1.029098861;0.775386849;-1.072003532;-5.324239724;-0.91742105;-0.381604042;0.038897283;-1.671733356;-0.688216206;0.842763336;-1.701097822;-1.396178217;0.397694297;-0.339738197;-1.601321094;-1.790357368;-0.829865091;-0.829865091;-2.499544506;-3.507065163
30/06/2015;0.92064246;2.280621782;1.793894394;1.081370296;1.958520944;1.459366119;3.631500252;2.29991026;3.906975586;0.805168252;2.79418055;2.822511625;0.373381617;2.181390276;1.784023067;2.162186495;2.193936474;1.392433434;2.173955978;2.332871788;2.248217191;1.584676023;1.617641834;2.524123056;1.674795399;1.303997411;2.383812105;2.194389679;1.107685787;1.547266535;1.647890047;2.15743042;1.578890953;1.578890953;2.239581314;3.461599287
29/05/2015;1.114290125;-1.604167101;1.037077948;1.169549365;0.999737781;0.277870113;0.138138732;-2.02555853;-0.082892211;-4.265249654;-0.30930419;0.492679485;1.168249324;0.152047662;1.072527877;-0.997860194;1.002892995;0.193491832;0.94385189;-5.231771834;-0.024208166;0.813038527;0.509486554;0.618745911;0.687957005;0.618458823;0.521298539;-0.840921496;1.060244232;0.859799817;-2.187987458;-2.192145778;-0.124601584;-0.124601584;-0.996059773;0.13705236
30/04/2015;2.886220619;-3.606222239;-0.172623356;2.089148982;-1.240613581;-0.995334512;-9.625707736;-3.895989364;-11.01774528;3.455094857;-6.01490428;-5.794011027;3.968457929;-1.678758397;-0.453082374;-3.870812964;-2.448263587;0.519504129;-2.492525473;-4.18180788;-3.030373769;0.068971354;0.203366527;-3.952333857;-1.169603416;1.106575213;-4.078089415;-3.387013456;2.231096145;0.02487901;-0.418310278;-2.944181073;0.513207364;0.513207364;-2.710324311;-9.038698422
31/03/2015;2.308058529;0.472767599;1.594946359;2.365514306;1.54556563;2.09137653;0.86854549;-0.355006578;0.741045095;-2.160600697;0.904402579;1.375624939;3.040993076;1.420041786;1.86707432;0.180081262;1.587014765;1.257159198;1.562240962;-2.859884737;1.326511837;1.792897016;1.457282362;1.539809777;1.976722898;1.416786275;1.661202016;0.481546885;2.197271653;1.981986217;-0.537245635;-0.167153293;0.769609403;0.769609403;0.034210531;1.029276415
